file,n_rows,t0_ms,t1_ms
Subj_06_Isokin_L_04kg_80bpm_EMG_data.csv,31050,1596541388092.0,1596541448749.74
Subj_06_Isokin_L_04kg_St_EMG_data.csv,20700,1596541129916.0,1596541168928.76
Subj_06_Isokin_R_02kg_40bpm_EMG_data.csv,37350,1596540054849.0,1596540124075.96
Subj_06_Isokin_R_02kg_60bpm_EMG_data.csv,37050,1596540147572.0,1596540216550.44
Subj_06_Isokin_R_02kg_80bpm_EMG_data.csv,22461,1596540235420.0,1596540278475.64
Subj_06_Isokin_R_02kg_St_EMG_data.csv,19200,1596539909155.0,1596539943784.45
Subj_06_Isokin_R_04kg_40bpm_EMG_data.csv,35850,1596540782329.0,1596540849125.77
Subj_06_Isokin_R_04kg_60bpm_EMG_data.csv,33300,1596540941950.0,1596541004670.16
Subj_06_Isokin_R_04kg_80bpm_EMG_data.csv,33150,1596541042251.0,1596541104615.79
Subj_06_Isokin_R_04kg_St_EMG_data.csv,18450,1596540700914.0,1596540735996.83
Subj_06_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,26811,1596536226003.0,1596536281665.17
Subj_06_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,36300,1596536333533.0,1596536408966.86
Subj_06_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,37950,1596536601266.0,1596536679387.57
Subj_06_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,40950,1596536752762.0,1596536833950.19
Subj_06_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,37800,1596536975641.0,1596537053693.72
Subj_06_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,41400,1596537071681.0,1596537155853.58
Subj_06_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,42750,1596537208639.0,1596537296401.78
Subj_06_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,49595,1596537328693.0,1596537425628.93
Subj_06_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,27045,1596537492378.0,1596537549338.1
Subj_06_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,43950,1596536227820.0,1596536316415.43
